台湾,#genre#
龙祥电影,P2p://starvod.xyz:19806/688f18c60009c1123f3d322f38a66726.ts
HBO,P2p://starvod.xyz:19806/68906fcc000d539444792289487b79c3.ts
东森洋片台,P2p://starvod.xyz:19806/c53bbbcbf05a4fae8624faa191a80cdd.ts
AXN,P2p://starvod.xyz:19806/1040e30d500f46b9a04caa0393dba6fb.ts
好莱坞电影台,P2p://starvod.xyz:19806/e2e60b586f9449bcaa926440ff39f252.ts
amc电影台,P2p://starvod.xyz:19806/49a2e3b1c30640a5a3749f845ed01dcf.ts
CINEMAX,P2p://starvod.xyz:19806/688f6111000958e2405797171ea71acd.ts
纬来育乐台,P2p://starvod.xyz:19806/1b1696ddae8547c7a97481e3f18b7640.ts
纬来体育台,P2p://starvod.xyz:19806/1bd3f54a1c4e4b2bb9915dec88435691.ts
DAZN 1,P2p://starvod.xyz:19806/eae84b7730954ac28a8431f17f8632af.ts
DAZN 2,P2p://starvod.xyz:19806/688f1286000a78763f24c85e4b7c6c62.ts
MOMO综合台,P2p://starvod.xyz:19806/67cf1bc25b404c2f9aa5cbb7e0325980.ts
博斯运动,P2p://starvod.xyz:19806/6890723d00001b374482a89610c81233.ts
纬来日本,P2p://starvod.xyz:19806/f2669a33313f499281e9eb1ea4b6529d.ts
国兴卫视,P2p://starvod.xyz:19806/1548518d47df4307971963dd11bbf95a.ts
BBC Lifestyle,P2p://starvod.xyz:19806/3c35f1c72dd04f4793c25d9d110bbea0.ts
Animax,P2p://starvod.xyz:19806/688f19e50000d1763f41910576ee6f78.ts
JET综合台,P2p://starvod.xyz:19806/4634e5be952841efbea4f1a5efdecd2e.ts
寰宇新闻台,P2p://starvod.xyz:19806/83bf3c0edd9f403dbf5603d32ce9ebec.ts
镜新闻,P2p://starvod.xyz:19806/0b92c19614e7466296e0fdb7ecd0246f.ts
Z频道,P2p://starvod.xyz:19806/688f6f3200029987408ec63a1b6b2a66.ts
非凡商业台,P2p://starvod.xyz:19806/2b27e8e6a3f1435393e2ab758041d5d3.ts
八大娱乐台,P2p://starvod.xyz:19806/fc5feaf57f6b43f2b7ca3969a541bcfc.ts
公视3台,P2p://147.135.39.171:9906/688f70ad000c29a113fec12f76565cbc.ts
大爱2台,P2p://starvod.xyz:19806/6c4c9c4466384c54a91f4f0476819086.ts
ELTV生活英语台,P2p://starvod.xyz:19806/9695ed0ae2cc46c5a4c9c2bdb70fe1c8.ts
佛卫慈悲台,P2p://starvod.xyz:19806/8746432c89d049ed9e90a00658f01a7c.ts
靖洋卡通Nice Bingo,P2p://starvod.xyz:19806/cfec7c30545b498d84a01d4d5a0d4336.ts
靖天卡通台,P2p://starvod.xyz:19806/95e88e3d4c494659ba7307d313c7e315.ts
达文西频道,P2p://starvod.xyz:19806/5689b9e7fcc5474bb690bbb78a4975b4.ts
Nick Jr.,P2p://starvod.xyz:19806/293f7af7d3664f54ad64eb71d0b3bdbd.ts
民视第一台,P2p://starvod.xyz:19806/6a62462b09e141a289c6882ef0ae3d6d.ts
民视台湾台,P2p://starvod.xyz:19806/0ad1202aa2fe4fb4872479db5e384e46.ts
中视菁采台,P2p://147.135.39.171:9906/6867a07b0000813094960c2053bb31ec.ts
台视财经台,P2p://starvod.xyz:19806/0817341552e94d809c49a1a48598b8f1.ts
台视综合台,P2p://starvod.xyz:19806/c37a6ec58dd140ccab0e25b94849ee06.ts
Mezzo Live,P2p://starvod.xyz:19806/e225423bad0b47e0a3c5669e3b6c7bb4.ts
CLASSICA 古典乐,P2p://starvod.xyz:19806/eb2219ba445a4a9b86fb50dd71c414ac.ts
爱尔达体育1台(备),P2p://starvod.xyz:19806/b44aded067b14e799bd9ad1f5d4d1354.ts
爱尔达体育1台,P2p://starvod.xyz:19806/ec8c0752548e4fca9a37a002f528800d.ts
爱尔达体育2台(备),P2p://starvod.xyz:19806/1308269dcd7540d38c182e5048c4a8fb.ts
爱尔达体育2台,P2p://starvod.xyz:19806/f4f467867d9d4c3eb755700ecf9901fc.ts
爱尔达体育3台(备),P2p://starvod.xyz:19806/4cc37595b1f742e29a4fb167249b6faa.ts
爱尔达体育3台,P2p://starvod.xyz:19806/fa2b754d67c546f99513b2d45a4e717d.ts
爱尔达体育4台,P2p://starvod.xyz:19806/fe01cf2903fc47c39540df8c1268c4d6.ts
博斯高球,P2p://starvod.xyz:19806/09f7ad0419d34f9ea25e278a1286005f.ts
博斯高球二台,P2p://starvod.xyz:19806/9d2191b56e9b40acaeafa11f3dad1a54.ts
博斯网球台,P2p://starvod.xyz:19806/30fbf151f23944ddaf789bc08b2d957c.ts
博斯魅力网,P2p://starvod.xyz:19806/32a50a0a45004c94a415409decc07ea3.ts
博斯无限台,P2p://starvod.xyz:19806/68df9c8e3ad649ceac68de16bb3c1430.ts
博斯无限二台,P2p://starvod.xyz:19806/b8f99b2229554bf6a791adde512ea60e.ts
TRACE Sport Stars,P2p://starvod.xyz:19806/faf1f3bdf1a34297aa753f63680cecf0.ts
智林体育台,P2p://starvod.xyz:19806/d233d3ca78fa48e193b47853ec433c5d.ts
博斯运动二台,P2p://starvod.xyz:19806/3fb1fdbef84b41299794a90866252e9a.ts
寰宇新闻台湾台,P2p://starvod.xyz:19806/afe7794ac5bf40ba96830dd97318be8c.ts
HBO Family,P2p://starvod.xyz:19806/885d5858223c4a2fab8882d088497a80.ts
HBO强档巨献,P2p://starvod.xyz:19806/b5a3136988f247109458543427ed8ea7.ts
HBO原创巨献,P2p://starvod.xyz:19806/ca7dd4874a67408b86d0a082ff4fcb2e.ts
Discovery Asia,P2p://starvod.xyz:19806/8d4c256e249e4bdbadbaa9a61c5964f6.ts
Discovery科学频道,P2p://starvod.xyz:19806/706af59d5aa949be8c7af84f7a492313.ts
DMAX,P2p://starvod.xyz:19806/de347284653f4f82abd018e2dfe31b95.ts
EVE,P2p://starvod.xyz:19806/5d33d3d8aab2491ebb573e58491bea29.ts
历史频道,P2p://starvod.xyz:19806/2d606ad986f0471daedd3183a45c7e10.ts
罪案侦缉频道,P2p://starvod.xyz:19806/77b3b2f9ba184e04a1f434b2b6238c6b.ts
Lifetime,P2p://starvod.xyz:19806/819f1d3fb92741c0b5caf39b5b8b165f.ts
KLT-靖天国际台,P2p://starvod.xyz:19806/f349833dddb5488ab2ce1175246557c1.ts
HGTV居家乐活频道,P2p://starvod.xyz:19806/21eb83d773344e3cae6316288af3818c.ts
Love Nature,P2p://starvod.xyz:19806/ba87030233c046908d7c7bfaa3ff9df6.ts
美食星球,P2p://starvod.xyz:19806/9d27c39385aa4b3cb200048b671e376b.ts
亚洲美食频道,P2p://starvod.xyz:19806/2294e984282d4d6e85c7ff00f5698301.ts
亚洲旅游台,P2p://starvod.xyz:19806/d5cc17ad9b2f403ca09060f24193dba8.ts
EYE TV旅游台,P2p://starvod.xyz:19806/d81b21f72705424badcf98dfcef332f4.ts
好消息2台,P2p://147.135.39.171:9906/686cc27800056e71a8a2de0431015f08.ts
三立综合台,P2p://147.135.39.171:9906/6869374a000888579acb331f46c77c60.ts
靖天资讯台,P2p://starvod.xyz:19806/db9b03374399434da716bae0cd93f784.ts
靖天综合台,P2p://starvod.xyz:19806/75b3e6bac51d4f08ba7ed008892ad6c2.ts
靖天育乐台,P2p://starvod.xyz:19806/9dfcf4658000439aadcf1feb841a8887.ts
Smart知识台,P2p://starvod.xyz:19806/91503615eaa2416b929e56f178be5100.ts
中视经典台,P2p://starvod.xyz:19806/c523db6b2af648daa7c4c6bc2b8b4fa0.ts
TVBS精采台,P2p://starvod.xyz:19806/e9b905add7be4a3abd0a1993053ab547.ts
壹电视综合,P2p://147.135.39.171:9906/685f810d000eeaf174db4a19563a6520.ts
纬来精采,P2p://147.135.39.171:9906/68693691000447559ac85f5e03845769.ts
Nice TV靖天欢乐台,P2p://starvod.xyz:19806/25be7e58e00a4f5391d8a2d9917126b7.ts
八大优频道,P2p://147.135.39.171:9906/686141c600004a257bb419081c1d2844.ts
三立戏剧台,P2p://starvod.xyz:19806/eb30a7e16f1841c6900b45c8be342071.ts
龙华戏剧,P2p://starvod.xyz:19806/6a6681f04fcc4478886cded08a10c658.ts
龙华偶像,P2p://starvod.xyz:19806/b3c35c2e01d44a31b17efef0af0ebc64.ts
爱尔达影剧台,P2p://starvod.xyz:19806/0ae8227ad4ca480499bdd9280ca57f7f.ts
靖天戏剧台,P2p://starvod.xyz:19806/840e84aa0a114e108edcaf6137177c4a.ts
靖洋戏剧台,P2p://147.135.39.171:9906/6867a22a000b7799949ca28717b451f5.ts
EYE TV戏剧台,P2p://starvod.xyz:19806/5756cf2acc364bd5ab062db33ddfad4b.ts
靖天日本台,P2p://starvod.xyz:19806/17ccd24c94514b0d928a3abd047add40.ts
i-Fun动漫台,P2p://starvod.xyz:19806/92ace855ba4b4ad7ab44089e3898eda4.ts
ROCK Extreme,P2p://147.135.39.171:9906/685f83cd0004357474e6055a4ddc4e55.ts
中视新闻台,P2p://starvod.xyz:19806/688f7b270006806a40bd7c4c68014503.ts
台视新闻台,P2p://starvod.xyz:19806/9e102cc689e046f9a757422e683cc7e8.ts
NHK新闻信息台,P2p://starvod.xyz:19806/6431253293b5465481791a93f585975a.ts
美亚电影台HD,P2p://starvod.xyz:19806/f9cdad09f3cc47bc83ba1d94167ebe64.ts
龙华电影,P2p://starvod.xyz:19806/574ee66b78d44e6e81450ae523041523.ts
靖天映画,P2p://starvod.xyz:19806/9c504d3521e4481088a8a6c54fbac3d3.ts
靖天电影台,P2p://starvod.xyz:19806/7a72ea8d27d64fb9aae835c30af3b1cc.ts
WARNER TV,P2p://starvod.xyz:19806/554396b9a3554fd295f2d53252538b07.ts
CinemaWorld,P2p://starvod.xyz:19806/398dfdc9c3cb49cdaa5470cb1ce795ad.ts
壹电视电影台,P2p://starvod.xyz:19806/599f2aabecde4ed4b5fff257c229f986.ts
采昌影剧台,P2p://starvod.xyz:19806/33264996f0c14a369140623dca66da43.ts
影迷数位电影台,P2p://starvod.xyz:19806/37350129294343bcb28f6494c7ce4c07.ts
France24,P2p://starvod.xyz:19806/20b9a94c6da94dd1beb5676e1cf83ae6.ts
HITS,P2p://starvod.xyz:19806/fb3a891a161e47f8bc71047fe7a21baf.ts
tvN,P2p://starvod.xyz:19806/c67aab5504544330858640ba7824b92c.ts
中国大陆,#genre#
CCTV1,P2p://starvod.xyz:19806/17b8da9bc6b54c8eb8f122fcb6a4eec1.ts
CCTV2,P2p://starvod.xyz:19806/69dde5933fc8425dbddee2b106457df2.ts
CCTV3,P2p://starvod.xyz:19806/cc4eeb9cbaef4426899e146a3cf7ed0e.ts
CCTV4,P2p://starvod.xyz:19806/31e3f05929374ea698fc9e296860d565.ts
CCTV5,P2p://starvod.xyz:19806/487f69e2ba1c453b842a2b839abf3c46.ts
CCTV5+,P2p://starvod.xyz:19806/4e70134e7a1d46438444e155f93f03d6.ts
CCTV6,P2p://starvod.xyz:19806/553a57a0561b4fc1b82d51e3a782adc1.ts
CCTV7,P2p://starvod.xyz:19806/1af26894d8aa4ddca52942ee08e600be.ts
CCTV8,P2p://starvod.xyz:19806/b2f26d6cef9b4de59d2afc2d19b57d6a.ts
CCTV9,P2p://starvod.xyz:19806/7d6966c7d38b4307bc792ef4c645f2d6.ts
CCTV10,P2p://starvod.xyz:19806/23dacfaeeb2e47b1af71d7f3a7af5ba3.ts
CCTV11,P2p://starvod.xyz:19806/de7953ebcf58471c8577f285b7151e09.ts
CCTV12,P2p://starvod.xyz:19806/1275bbb00fbc4f3db0cbb7778977e110.ts
CCTV13,P2p://starvod.xyz:19806/c0b83c6750d34b348d3085b9b79962b9.ts
CCTV14,P2p://starvod.xyz:19806/c8a5e953ef194f7c869050ccaf8592c1.ts
CCTV15,P2p://starvod.xyz:19806/b5c2f3fe46694f0c9052025f7636d0e1.ts
CCTV16,P2p://starvod.xyz:19806/eab8c19f4dfa47e0926f79d9126899e4.ts
CCTV17,P2p://starvod.xyz:19806/8c7a8a96b5594c59806e92103c5f6693.ts
天津卫视,P2p://starvod.xyz:19806/96f57ad73fca4b9fac06785e5631cd0e.ts
北京卫视,P2p://starvod.xyz:19806/689074310005ac04448a4b1d407176ec.ts
黑龙江卫视,P2p://starvod.xyz:19806/5bdc6caab82b4931a5fa2a7096efa3dd.ts
辽宁卫视,P2p://starvod.xyz:19806/a7bb2c334cf64075b1fc69df157793d1.ts
东方卫视,P2p://starvod.xyz:19806/7c014d55feb241dbb75ea94d25605bc5.ts
江苏卫视,P2p://starvod.xyz:19806/bf53a2a6b87841ab81884c703ce1b958.ts
浙江卫视,P2p://starvod.xyz:19806/d904c109ad1b402d85e1381006d852ab.ts
江西卫视,P2p://starvod.xyz:19806/a59df0b9747d463786a239e0849323b6.ts
山东卫视,P2p://starvod.xyz:19806/798d68eb5d69400398afe58b74a57fb2.ts
厦门卫视,P2p://starvod.xyz:19806/68679be20005f898a4fd4e6759fb32a1.ts
湖北卫视,P2p://starvod.xyz:19806/68907d55000afdf244ae012466230561.ts
湖南卫视,P2p://starvod.xyz:19806/688f7df7000e9b9440c87adf7ffc1a9f.ts
河北卫视,P2p://starvod.xyz:19806/63869a19dc3549019ced46f4ee9c3fc7.ts
广东卫视,P2p://starvod.xyz:19806/68907e6700085d4844b22ec9097a6cd4.ts
广西卫视,P2p://starvod.xyz:19806/2f0990d3ee9d4f98a9940b34d9ff4ac2.ts
深圳卫视,P2p://starvod.xyz:19806/9680b8ca784847ff890941cc28b5ea5e.ts
云南卫视,P2p://starvod.xyz:19806/9177a28fb5bc466caaa0c88d750a41fb.ts
重庆卫视,P2p://starvod.xyz:19806/9f470d23b89842b981efcd72f01fc849.ts
大湾区卫视,P2p://starvod.xyz:19806/9b45a1f4f1ef4ae5879c6020e377ec7c.ts
珠江台,P2p://starvod.xyz:19806/68711d5b0001a05fca1f0df603cc5352.ts
广东影视,P2p://starvod.xyz:19806/9655a3f6aad941ceaa6317814ffcbe69.ts
星空卫视,P2p://starvod.xyz:19806/913e258484624493a5a6d960500b30cc.ts
CHC高清电影,P2p://starvod.xyz:19806/4945032366244655b517260d2b3f6afb.ts
CHC家庭影院,P2p://starvod.xyz:19806/e3d527e8d47642028bcdca7cb587d8e8.ts
CHC动作电影,P2p://starvod.xyz:19806/0999fa74f14540bc8fe2a157cc224391.ts
私人影院,P2p://starvod.xyz:19806/74567d46c9a54cb8aab7bb35b7446cf2.ts
Channel [V],P2p://starvod.xyz:19806/06707a16e03c4185a7d540ad1828ad52.ts
重温经典频道,P2p://starvod.xyz:19806/856e2c671a94492f86168b9c3fa3ee84.ts
快乐垂钓,P2p://starvod.xyz:19806/8f86c20a0da340f5bb0af6842ba81dce.ts
风云足球,P2p://starvod.xyz:19806/a6935bb6a30048c6b12be346e5481302.ts
央视台球,P2p://starvod.xyz:19806/686d21800004334aba8f3f1a2a5e645e.ts
高尔夫·网球,P2p://starvod.xyz:19806/11c608f32f4f4aeb911a68fa0d51b026.ts
广东体育,P2p://starvod.xyz:19806/3bdaf0abb692466b9e9d90437f3f6644.ts
五星体育,P2p://starvod.xyz:19806/3d9dba45a3584576b6064839f34d2d4e.ts
深圳都市,P2p://starvod.xyz:19806/e482872603674e7cb71fa01af9ee505f.ts
深圳电视剧,P2p://starvod.xyz:19806/188552314db64a0985c33c3cabda8394.ts
广州新闻,P2p://starvod.xyz:19806/f6b3d463c72543b8a39306e6e530cc4e.ts
广州综合,P2p://starvod.xyz:19806/67210bab000ce3b2a9595f2751324544.ts
广东民生,P2p://starvod.xyz:19806/31dff8506687492db55746a4670fbb7f.ts
港澳,#genre#
凤凰中文台,P2p://starvod.xyz:19806/573275f096fe4afa9f48b71d92dc991b.ts
凤凰信息台,P2p://starvod.xyz:19806/0597d6633ca34776b2cf374c77959b17.ts
凤凰香港台,P2p://starvod.xyz:19806/cf6ac5da2528430da34c4beab4b2f07f.ts
澳门Macau,P2p://starvod.xyz:19806/55c3012d45a3497aaa271308a0f9d2e6.ts
澳门莲花,P2p://starvod.xyz:19806/68679bdf00060084a4fd42af6a261d1a.ts
港台电视31,P2p://starvod.xyz:19806/c1a26cd818fc4c3381db1927b6080082.ts
港台电视32,P2p://starvod.xyz:19806/518df49f38ee41cf943aec9eb88cd17c.ts
港台电视34,P2p://starvod.xyz:19806/90738a0c5af1411197c8b86675d3dbef.ts
美亚电影台(粤语),P2p://starvod.xyz:19806/f803abc455da4b94bb9f16f7add61443.ts
生活台,P2p://starvod.xyz:19806/f4650e7cb54645f79ea52469b84ef3c4.ts
SUPER Kids,P2p://starvod.xyz:19806/631732f5fa894772aec8ee750359e455.ts
粤语片台,P2p://starvod.xyz:19806/04fd1cf947634341813b484f497ecbbc.ts
亚洲剧台,P2p://starvod.xyz:19806/4eab17c6f15b475696bcb51b61233345.ts
功夫台,P2p://starvod.xyz:19806/6043814031384523bc272f4f87aeb298.ts
戏曲台,P2p://starvod.xyz:19806/38b743244a7b4812a4e54b0d32910647.ts
18台,P2p://starvod.xyz:19806/ad27c96a4bca4e61be7b4b2ba07368fc.ts
香港国际财经台,P2p://starvod.xyz:19806/96294ce955f546a589fb180d378478a0.ts
HOY TV,P2p://starvod.xyz:19806/9d44f0f4b33d49b3836b88c72d8eb5eb.ts
HOY信息台,P2p://starvod.xyz:19806/c893c711cc324972a3abaa7e2232dafd.ts
黄金翡翠台,P2p://starvod.xyz:19806/d6964956395e43d1a62e6166706f7fcf.ts
翡翠台(备),P2p://starvod.xyz:19806/8c6ff46683ad450699fa985165755072.ts
翡翠台,P2p://147.135.39.171:9906/6882623b000dccf6fd1b0a78411562d1.ts
TVB Plus,P2p://starvod.xyz:19806/5c266aa3cbf945228bbddf3589aef8d8.ts
无线新闻台(备),P2p://starvod.xyz:19806/6f52ab9ed4f44c4cb6db0d5ff4258e5e.ts
无线新闻台,P2p://starvod.xyz:19806/557d5098116e4e1f9b14008ed764cc71.ts
明珠台,P2p://starvod.xyz:19806/640639b597af4d7398929b1a5f5c5c8e.ts
PopC,P2p://starvod.xyz:19806/688bba7c000da6943214e2280ad91465.ts
Thrill,P2p://starvod.xyz:19806/68679be10008a36ea4fd4b2b3b26291d.ts
now新闻台,P2p://starvod.xyz:19806/d0ba9cc570654f6d958809d4c3f8931d.ts
now财经台,P2p://starvod.xyz:19806/83892e7ba0594a00913904b57f0e1d61.ts
ViuTVsix,P2p://starvod.xyz:19806/fdc75057279147629ab2414d3c703e24.ts
ViuTV,P2p://starvod.xyz:19806/510b3d2f6e0b468781a540aa29bb18d4.ts
千禧经典台,P2p://starvod.xyz:19806/8cf149d3490640d298e3bce48cd0e8ae.ts
TVB娱乐新闻台,P2p://starvod.xyz:19806/c6994957df9e4488bfb1c462db442f61.ts
TVB星河,P2p://starvod.xyz:19806/52d013423e304854a4980bd64c0015ae.ts
HKC 18,P2p://starvod.xyz:19806/72740144b3744949b05bd0220bd4c231.ts
马来西亚,#genre#
TV1,P2p://147.135.39.171:9906/686abcbc000c3e8fa0bc796956de66ba.ts
TV2,P2p://147.135.39.171:9906/686abd4700070cd0a0be970a62f94449.ts
TV3,P2p://starvod.xyz:19806/0f9c8d6e327a477f922a6d2c1f87c1f0.ts
Astro Oasis HD,P2p://starvod.xyz:19806/76645754586e4d429f2e2a0c13d67acb.ts
Al-Hijrah,P2p://147.135.39.171:9906/686d1a0700074ca5a9f8e5196e312380.ts
TV Okey,P2p://starvod.xyz:19806/c8301a84acd740909034c7ba0a615788.ts
NTV7,P2p://starvod.xyz:19806/fe94782498f04af19ebc7ddec66c153f.ts
八度空间,P2p://starvod.xyz:19806/ae2ec19c582f4a07baa35b40f91b4239.ts
TV9,P2p://starvod.xyz:19806/ead524fdf3124dcda14fd4d543065bee.ts
SUN TV,P2p://starvod.xyz:19806/a137ef0feac34f3f8476181c8f4a3582.ts
Star Vijay,P2p://147.135.39.171:9906/686abe860007d119a0c3755020966fdb.ts
Zee Tamil,P2p://147.135.39.171:9906/686abf16000db48da0c5a9577b741206.ts
爱奇艺,P2p://starvod.xyz:19806/1cd1505d309948e596459856926cda41.ts
千禧经典台,P2p://starvod.xyz:19806/8cf149d3490640d298e3bce48cd0e8ae.ts
Astro AEC,P2p://starvod.xyz:19806/eebddc9450784ba9a5c87bf313dfabe5.ts
天映频道,P2p://starvod.xyz:19806/22fe7790f74a4cf4947335cf42b62be2.ts
翡翠台,P2p://starvod.xyz:19806/34611beb82c94c9693e7c688faab99bb.ts
Astro AOD HD 311,P2p://starvod.xyz:19806/7f5ac4b29302490d8e0dd09f292fa191.ts
中天亚洲台,P2p://starvod.xyz:19806/cd11642fed21436aae33a4a2ad34d222.ts
TVB娱乐新闻台,P2p://starvod.xyz:19806/c6994957df9e4488bfb1c462db442f61.ts
TVB星河,P2p://starvod.xyz:19806/52d013423e304854a4980bd64c0015ae.ts
TVBS亚洲,P2p://starvod.xyz:19806/62e69ecfa7ad4edfa092d77d9a9347d1.ts
天映经典,P2p://starvod.xyz:19806/4eebafee9ada46c9b959fe48a6baf682.ts
Astro欢喜台,P2p://starvod.xyz:19806/4c16be87c7f842e5b87c052eebf5e668.ts
KBS World,P2p://starvod.xyz:19806/42be76883e3d4bc480f5bb73f44bf364.ts
HITS Movies,P2p://starvod.xyz:19806/31e31d282a5a4acb9e7856599456072b.ts
BOO,P2p://starvod.xyz:19806/9ee546f426c64398af4f2d301c8f00b4.ts
tvN Movies HD,P2p://starvod.xyz:19806/9b0d0110e4b34e259346a0555eed638a.ts
Astro Awani,P2p://starvod.xyz:19806/fef2b89dc60a438d8b79abae33489731.ts
BBC World News,P2p://starvod.xyz:19806/3dd01ec097cb4f92b0bfe2cc40aae421.ts
Sky News,P2p://starvod.xyz:19806/0462a59394e2495c9e892952ee6c3134.ts
CNBC,P2p://starvod.xyz:19806/0f5ef2d64c4f4dec9484d6bb6233122d.ts
ABC Australia,P2p://starvod.xyz:19806/9ecac4819b2e491db561b86445751dfc.ts
France24,P2p://starvod.xyz:19806/20b9a94c6da94dd1beb5676e1cf83ae6.ts
Astro Ceria,P2p://starvod.xyz:19806/b433213f29ef44e5a6d4bf2a544bba48.ts
Boomerang,P2p://starvod.xyz:19806/3fc47324d72b410da2386ac87c4f1fee.ts
KIX,P2p://147.135.39.171:9906/68653bc4000f0eaf8b3ca50175c06286.ts
HITS,P2p://starvod.xyz:19806/fb3a891a161e47f8bc71047fe7a21baf.ts
TLC旅游生活,P2p://starvod.xyz:19806/1f0f03ffefb849ada323da0cbf62ddfb.ts
Astro Arena,P2p://starvod.xyz:19806/605b4b712b624227bddd4c21feaf9cea.ts
Astro Arena 2,P2p://starvod.xyz:19806/688f7fbf000cca3340cf6fa27c1871d1.ts
Astro Premier League,P2p://starvod.xyz:19806/688f81ff000e916740d83a1f18c8056d.ts
Astro Premier League 2,P2p://starvod.xyz:19806/de165676e36e4bbab3ead693237c8ad7.ts
Astro Grandstand,P2p://starvod.xyz:19806/0fe049facfaf4d72b619433bc2f1d2cc.ts
Astro Football,P2p://starvod.xyz:19806/6890810c000baae744bc841c68775c9a.ts
Astro Badminton,P2p://starvod.xyz:19806/6c3f4b1691c24c1ca68dc77210ec4488.ts
beIN Sports 2,P2p://starvod.xyz:19806/bcde775894f8490ab48e90fbc6667292.ts
beIN Sports,P2p://starvod.xyz:19806/7ec6631ab8414c8295b678161ff3e950.ts
